Date,Open,High,Low,Close,Volume,Adj Close
2016-12-06,31.65,31.700001,31.43,31.559999,17475300,31.559999
2016-12-05,31.74,31.77,31.389999,31.59,19185900,31.59
2016-12-02,31.540001,31.73,31.360001,31.629999,18975700,31.629999
2016-12-01,32.25,32.25,31.40,31.459999,30444300,31.459999
2016-11-30,31.98,32.369999,31.75,32.139999,37246100,32.139999
2016-11-29,31.85,31.969999,31.610001,31.92,21064700,31.92
2016-11-28,31.690001,31.84,31.50,31.540001,17657100,31.540001
2016-11-25,31.60,31.74,31.549999,31.690001,10451100,31.690001
2016-11-23,31.18,31.450001,30.629999,31.42,21252300,31.42
2016-11-22,31.93,31.99,31.049999,31.33,26102100,31.33
2016-11-21,31.51,31.690001,31.49,31.57,21798400,31.57
2016-11-18,31.950001,31.950001,31.440001,31.48,22997700,31.48
2016-11-17,32.009998,32.119999,31.68,31.73,26015300,31.73
2016-11-16,32.200001,32.330002,31.93,31.959999,22366300,31.959999
2016-11-15,32.759998,32.759998,31.879999,32.23,29543100,32.23
2016-11-14,32.849998,32.900002,32.130001,32.380001,30334000,32.380001
2016-11-11,33.220001,33.34,32.189999,32.59,35607900,32.59
2016-11-10,33.32,33.830002,32.849998,33.490002,67274100,33.490002
2016-11-09,33.009998,33.369999,31.50,32.119999,118519400,32.119999
2016-11-08,30.129999,30.450001,29.959999,30.00,35451300,30.00
2016-11-07,30.23,30.440001,30.08,30.379999,30877500,30.079998
