Date,Open,High,Low,Close,Volume,Adj Close
11/7/16,115.889999,116.720001,115.839996,116.660004,6398200,115.859387
11/8/16,116.480003,117.57,116.470001,117.050003,6675300,116.24671
11/9/16,120,122.5,118.099998,120.309998,16220000,119.484332
11/10/16,120.769997,121.099998,119.019997,119.540001,11904500,118.71962
11/11/16,119.489998,119.489998,118.129997,118.470001,8134800,117.656963
11/14/16,118.580002,118.989998,116.5,116.599998,10054900,115.799794
11/15/16,116.400002,116.690002,115.82,116.32,7446700,115.521717
11/16/16,116.650002,116.779999,116.080002,116.360001,6594800,115.561443
11/17/16,116.68,116.68,116.120003,116.57,5730300,115.770001
11/18/16,115.790001,115.919998,114.809998,115.360001,7717800,115.360001
11/21/16,115.440002,115.68,114.800003,115,5843300,115
11/22/16,114.589996,115,112.269997,112.739998,11649700,112.739998
11/23/16,112.25,113.43,111.559998,113.07,7892600,113.07
11/25/16,113.599998,114.230003,113.379997,114.129997,3433300,114.129997
11/28/16,113.790001,114.120003,113.050003,113.129997,9025700,113.129997
11/29/16,112.949997,113.410004,112.169998,112.480003,7751800,112.480003
11/30/16,112.190002,112.519997,111.300003,111.300003,11014500,111.300003
12/1/16,111.360001,111.540001,111,111.379997,8105700,111.379997
12/2/16,111.720001,112.529999,111.440002,111.959999,6159700,111.959999
12/5/16,112.400002,112.419998,111.730003,111.940002,5427300,111.940002
12/6/16,112.239998,113.199997,111.849998,112.059998,6430100,112.059998
