Date,Open,High,Low,Close,Volume,Adj Close
2016-12-06,19219.910156,19255.890625,19184.740234,19251.779297,284960000,19251.779297
2016-12-05,19244.349609,19274.849609,19186.730469,19216.240234,317800000,19216.240234
2016-12-02,19161.25,19196.140625,19141.179688,19170.419922,84920000,19170.419922
2016-12-01,19149.199219,19214.300781,19138.789062,19191.929688,108800000,19191.929688
2016-11-30,19135.640625,19225.289062,19123.380859,19123.580078,164570000,19123.580078
2016-11-29,19064.070312,19144.400391,19062.220703,19121.599609,81510000,19121.599609
2016-11-28,19122.140625,19138.720703,19072.25,19097.900391,88460000,19097.900391
2016-11-25,19093.720703,19152.140625,19093.720703,19152.140625,45890000,19152.140625
2016-11-23,19015.519531,19083.759766,19000.380859,19083.179688,77880000,19083.179688
2016-11-22,18970.390625,19043.900391,18962.820312,19023.869141,85310000,19023.869141
2016-11-21,18898.679688,18960.759766,18883.099609,18956.689453,80520000,18956.689453
2016-11-18,18905.330078,18915.740234,18853.830078,18867.929688,109880000,18867.929688
2016-11-17,18866.220703,18904.029297,18845.269531,18903.820312,89940000,18903.820312
2016-11-16,18909.849609,18909.849609,18825.890625,18868.140625,87320000,18868.140625
2016-11-15,18858.210938,18925.259766,18806.060547,18923.060547,100660000,18923.060547
2016-11-14,18876.769531,18934.050781,18815.75,18868.689453,112250000,18868.689453
2016-11-11,18781.650391,18855.779297,18736.960938,18847.660156,107300000,18847.660156
2016-11-10,18603.140625,18873.660156,18603.140625,18807.880859,164390000,18807.880859
2016-11-09,18317.259766,18650.060547,18252.550781,18589.689453,173110000,18589.689453
2016-11-08,18251.380859,18400.50,18200.75,18332.740234,79820000,18332.740234
2016-11-07,17994.640625,18263.300781,17994.640625,18259.599609,93450000,18259.599609
