Date,Open,High,Low,Close,Volume,Adj Close
2016-12-06,5317.740234,5333.990234,5299.939941,5333.00,1974850000,5333.00
2016-12-05,5283.580078,5321.089844,5269.569824,5308.890137,1798160000,5308.890137
2016-12-02,5249.02002,5274.540039,5239.27002,5255.649902,1848930000,5255.649902
2016-12-01,5323.879883,5326.339844,5238.209961,5251.109863,2264960000,5251.109863
2016-11-30,5391.350098,5393.149902,5323.680176,5323.680176,2064430000,5323.680176
2016-11-29,5370.97998,5403.859863,5360.560059,5379.919922,1788790000,5379.919922
2016-11-28,5387.919922,5396.27002,5364.910156,5368.810059,1625620000,5368.810059
2016-11-25,5388.490234,5398.919922,5379.279785,5398.919922,768070000,5398.919922
2016-11-23,5366.549805,5380.680176,5350.680176,5380.680176,1616740000,5380.680176
2016-11-22,5384.75,5392.259766,5365.600098,5386.350098,1886800000,5386.350098
2016-11-21,5336.779785,5369.830078,5334.160156,5368.859863,1745320000,5368.859863
2016-11-18,5340.970215,5346.799805,5315.529785,5321.509766,1858610000,5321.509766
2016-11-17,5295.069824,5334.049805,5288.160156,5333.970215,2081760000,5333.970215
2016-11-16,5253.740234,5299.629883,5251.879883,5294.580078,2057140000,5294.580078
2016-11-15,5241.350098,5287.060059,5236.25,5275.620117,2156500000,5275.620117
2016-11-14,5246.330078,5247.169922,5192.049805,5218.399902,2369190000,5218.399902
2016-11-11,5191.819824,5241.080078,5179.640137,5237.109863,2285050000,5237.109863
2016-11-10,5283.47998,5302.680176,5145.319824,5208.799805,2984360000,5208.799805
2016-11-09,5143.859863,5258.990234,5143.859863,5251.069824,2824560000,5251.069824
2016-11-08,5154.990234,5214.169922,5145.299805,5193.490234,1736100000,5193.490234
2016-11-07,5128.990234,5169.410156,5122.77002,5166.169922,1914310000,5166.169922
