Date,Open,High,Low,Close,Volume,Adj Close
11/7/16,53.5,54.68,53.189999,54.490002,14916800,54.238757
11/8/16,54.400002,54.790001,54.119999,54.619999,9352000,54.368155
11/9/16,53.200001,54.82,52.799999,54.580002,13727800,54.328342
11/10/16,54.639999,54.82,53.509998,53.57,13621700,53.322997
11/11/16,53.43,53.990002,53.25,53.93,8436400,53.681338
11/14/16,53.93,54.470001,53.5,54.220001,10489800,53.970002
11/15/16,54.09,54.689999,53.900002,54.59,9331700,54.59
11/16/16,54.330002,55.52,54.259998,55.439999,10774600,55.439999
11/17/16,55.220001,55.900002,55.060001,55.849998,8717200,55.849998
11/18/16,55.720001,56.119999,55.419998,55.77,8728300,55.77
11/21/16,55.509998,56.16,55.509998,56.099998,8002200,56.099998
11/22/16,56.32,57.150002,55.880001,57.119999,10246600,57.119999
11/23/16,56.91,57.639999,56.900002,57.59,8177000,57.59
11/25/16,57.700001,57.700001,57.259998,57.43,3215300,57.43
11/28/16,57,57.860001,56.759998,57.59,8681400,57.59
11/29/16,57.639999,58.209999,57.5,58.169998,10559500,58.169998
11/30/16,58.189999,58.25,57.860001,57.970001,9487300,57.970001
12/1/16,57.34,58.52,57.200001,58.509998,11822700,58.509998
12/2/16,56.650002,57.75,56.57,57.209999,16822900,57.209999
12/5/16,56.959999,57.84,56.959999,57.5,7686600,57.5
12/6/16,57.66,57.700001,57.139999,57.439999,7013100,57.439999
