Date,Open,High,Low,Close,Volume,Adj Close
2016-12-06,93.32,94.099998,93.300003,93.900002,5820000,93.900002
2016-12-05,94.080002,94.260002,93.300003,93.339996,4109700,93.339996
2016-12-02,94.18,94.589996,93.419998,93.800003,3826500,93.800003
2016-12-01,91.940002,94.440002,91.709999,94.139999,6619800,94.139999
2016-11-30,92.50,92.75,91.82,91.82,4367100,91.82
2016-11-29,92.739998,93.419998,92.629997,92.910004,2956300,92.910004
2016-11-28,92.360001,93.260002,92.339996,92.900002,4663500,92.900002
2016-11-25,92.68,93.300003,92.610001,93.199997,1249300,92.796998
2016-11-23,92.120003,92.849998,92.059998,92.779999,3168100,92.378816
2016-11-22,91.529999,92.949997,91.50,92.330002,5037100,91.930765
2016-11-21,91.480003,91.940002,91.239998,91.559998,3761700,91.16409
2016-11-18,90.639999,91.660004,90.290001,91.349998,4769000,90.954999
2016-11-17,89.779999,90.790001,89.699997,90.690002,7890400,90.297857
2016-11-16,88.650002,89.260002,88.300003,88.949997,4754600,88.565375
2016-11-15,86.660004,88.980003,86.589996,88.669998,7680400,88.286587
2016-11-14,86.779999,87.139999,86.470001,86.800003,3783700,86.424678
2016-11-11,86.18,87.00,85.769997,86.800003,3828100,86.424678
2016-11-10,86.559998,86.849998,85.220001,86.330002,7902700,85.956709
2016-11-09,85.480003,87.330002,85.449997,86.599998,12271600,86.225538
2016-11-08,87.809998,88.040001,87.239998,87.870003,5227100,87.490051
2016-11-07,87.550003,87.919998,86.889999,87.739998,6438100,87.360608
