Date,Open,High,Low,Close,Volume,Adj Close
11/7/16,59.779999,60.52,59.779999,60.419998,31664800,60.014566
11/8/16,60.549999,60.779999,60.150002,60.470001,22935400,60.064234
11/9/16,60,60.59,59.200001,60.169998,49632500,59.766244
11/10/16,60.48,60.490002,57.630001,58.700001,57822400,58.30611
11/11/16,58.23,59.119999,58.009998,59.02,38767800,58.623963
11/14/16,59.02,59.080002,57.279999,58.119999,41328400,57.73
11/15/16,58.330002,59.490002,58.32,58.869999,34764300,58.869999
11/16/16,58.939999,59.66,58.810001,59.650002,26851400,59.650002
11/17/16,60.41,60.950001,59.970001,60.639999,31463700,60.639999
11/18/16,60.779999,61.139999,60.299999,60.349998,26580600,60.349998
11/21/16,60.5,60.970001,60.419998,60.860001,19563200,60.860001
11/22/16,60.98,61.259998,60.810001,61.119999,22645300,61.119999
11/23/16,61.009998,61.099998,60.25,60.400002,21847200,60.400002
11/25/16,60.299999,60.529999,60.130001,60.529999,8370500,60.529999
11/28/16,60.34,61.02,60.209999,60.610001,20603800,60.610001
11/29/16,60.650002,61.41,60.52,61.09,22010800,61.09
11/30/16,60.860001,61.18,60.220001,60.259998,33783900,60.259998
12/1/16,60.110001,60.150002,58.939999,59.200001,33917000,59.200001
12/2/16,59.080002,59.470001,58.799999,59.25,25384900,59.25
12/5/16,59.700001,60.59,59.560001,60.220001,23126500,60.220001
12/6/16,60.43,60.459999,59.799999,59.950001,19850100,59.950001
